epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
60,240,,7246436.5,,
60,241,,7191260.5,,
60,242,,8784425.0,,
60,243,,9537660.0,,
,60,,,,6435842.5
60,243,,,6435842.5,
60,243,7976506.5,,,
61,244,,6514927.0,,
61,245,,7082702.0,,
61,246,,8807073.0,,
61,247,,8416359.0,,
,61,,,,6188025.0
61,247,,,6188025.0,
61,247,7592648.5,,,
62,248,,6740119.5,,
62,249,,7059920.5,,
62,250,,8662478.0,,
62,251,,8263527.0,,
,62,,,,5986608.0
62,251,,,5986608.0,
62,251,7589336.5,,,
63,252,,6033688.0,,
63,253,,6653819.0,,
63,254,,8446392.0,,
63,255,,8686864.0,,
,63,,,,5825367.0
63,255,,,5825367.0,
63,255,7260130.0,,,
64,256,,6229228.0,,
64,257,,6547150.5,,
64,258,,8266752.0,,
64,259,,7780492.0,,
,64,,,,5698083.0
64,259,,,5698083.0,
64,259,7114908.0,,,
65,260,,6268539.5,,
65,261,,5859834.0,,
65,262,,8874967.0,,
65,263,,7933706.0,,
,65,,,,5596767.5
65,263,,,5596767.5,
65,263,7123489.5,,,
66,264,,5783462.5,,
66,265,,6639070.5,,
66,266,,8000401.5,,
66,267,,7335141.0,,
,66,,,,5509656.5
66,267,,,5509656.5,
66,267,6876863.5,,,
67,268,,5949069.0,,
67,269,,6526893.5,,
67,270,,8217200.5,,
67,271,,8468278.0,,
,67,,,,5426913.0
67,271,,,5426913.0,
67,271,7103812.0,,,
68,272,,6184566.5,,
68,273,,6100224.0,,
68,274,,8043851.0,,
68,275,,8478088.0,,
,68,,,,5362502.0
68,275,,,5362502.0,
68,275,6999536.5,,,
69,276,,6399334.0,,
69,277,,6483160.5,,
69,278,,7854703.5,,
69,279,,7755433.5,,
,69,,,,5316127.0
69,279,,,5316127.0,
69,279,7023023.5,,,
70,280,,5910015.5,,
70,281,,6039301.0,,
70,282,,7760826.0,,
70,283,,7906531.5,,
,70,,,,5280185.5
70,283,,,5280185.5,
70,283,6745423.0,,,
71,284,,5805400.5,,
71,285,,6070359.5,,
71,286,,7798887.0,,
71,287,,7390675.0,,
,71,,,,5252349.0
71,287,,,5252349.0,
71,287,6667453.0,,,
72,288,,5545427.5,,
72,289,,6024629.5,,
72,290,,7574656.0,,
72,291,,7918634.5,,
,72,,,,5228573.5
72,291,,,5228573.5,
72,291,6583267.0,,,
73,292,,5854947.0,,
73,293,,5981590.5,,
73,294,,7850441.5,,
73,295,,7598444.0,,
,73,,,,5205511.0
73,295,,,5205511.0,
73,295,6698287.5,,,
74,296,,5442053.0,,
74,297,,6031549.5,,
74,298,,7793323.0,,
74,299,,8074469.5,,
,74,,,,5185464.0
74,299,,,5185464.0,
74,299,6639107.5,,,
75,300,,5680684.0,,
75,301,,6018818.0,,
75,302,,7832670.5,,
75,303,,7641421.5,,
,75,,,,5174986.0
75,303,,,5174986.0,
75,303,6659096.5,,,
76,304,,5187772.5,,
76,305,,5519215.0,,
76,306,,7489147.5,,
76,307,,7642716.5,,
,76,,,,5179590.5
76,307,,,5179590.5,
76,307,6272359.5,,,
77,308,,5825411.0,,
77,309,,5452551.0,,
77,310,,7570838.0,,
77,311,,7783239.0,,
,77,,,,5186177.5
77,311,,,5186177.5,
77,311,6479806.0,,,
78,312,,4906964.5,,
78,313,,6217722.5,,
78,314,,7571057.5,,
78,315,,7514108.0,,
,78,,,,5196819.0
78,315,,,5196819.0,
78,315,6400166.0,,,
79,316,,5597942.0,,
79,317,,6438197.5,,
79,318,,7400655.0,,
79,319,,7699875.5,,
,79,,,,5202022.5
79,319,,,5202022.5,
79,319,6639146.5,,,
80,320,,5997501.0,,
80,321,,6341573.0,,
80,322,,7502954.5,,
80,323,,7278408.0,,
,80,,,,5197216.0
80,323,,,5197216.5,
80,323,6701192.5,,,
81,324,,5357023.5,,
81,325,,5973083.5,,
81,326,,7850487.5,,
81,327,,7330975.5,,
,81,,,,5187243.5
81,327,,,5187243.5,
81,327,6516544.5,,,
82,328,,5840136.0,,
82,329,,6487370.0,,
82,330,,8023314.5,,
82,331,,7871154.5,,
,82,,,,5185887.0
82,331,,,5185887.0,
82,331,6926316.5,,,
83,332,,5839528.0,,
83,333,,6068836.0,,
83,334,,7626383.5,,
83,335,,8425069.0,,
,83,,,,5185800.5
83,335,,,5185800.5,
83,335,6762674.0,,,
84,336,,5466623.0,,
84,337,,6478296.5,,
84,338,,7487236.5,,
84,339,,6984126.0,,
,84,,,,5185475.5
84,339,,,5185476.0,
84,339,6543880.5,,,
85,340,,5588503.0,,
85,341,,6451297.0,,
85,342,,8127667.5,,
85,343,,6954830.0,,
,85,,,,5184299.5
85,343,,,5184299.5,
85,343,6752977.5,,,
86,344,,5865360.5,,
86,345,,6103364.0,,
86,346,,7659501.0,,
86,347,,7505094.0,,
,86,,,,5182106.0
86,347,,,5182106.0,
86,347,6669023.0,,,
87,348,,5736783.5,,
87,349,,5961111.5,,
87,350,,7366812.5,,
87,351,,7716237.0,,
,87,,,,5180929.0
87,351,,,5180929.0,
87,351,6533539.5,,,
88,352,,5772680.0,,
88,353,,6220494.0,,
88,354,,6794117.5,,
88,355,,8008607.5,,
,88,,,,5180848.5
88,355,,,5180848.5,
88,355,6491567.0,,,
89,356,,5360484.0,,
89,357,,5665207.5,,
89,358,,7835622.0,,
89,359,,7167531.0,,
,89,,,,5180851.5
89,359,,,5180851.5,
89,359,6402636.0,,,
90,360,,6367295.5,,
90,361,,5647094.5,,
90,362,,7580092.5,,
90,363,,7702014.0,,
,90,,,,5180788.0
90,363,,,5180788.0,
90,363,6685091.5,,,
91,364,,5286377.0,,
91,365,,5609613.5,,
91,366,,7626557.5,,
91,367,,7606862.5,,
,91,,,,5180792.0
91,367,,,5180792.0,
91,367,6362181.5,,,
92,368,,5552654.5,,
92,369,,5803716.0,,
92,370,,7813380.0,,
92,371,,6738316.5,,
,92,,,,5180701.0
92,371,,,5180701.0,
92,371,6435634.5,,,
93,372,,5423630.5,,
93,373,,6047610.5,,
93,374,,8082222.0,,
93,375,,7667549.0,,
,93,,,,5180598.0
93,375,,,5180598.0,
93,375,6668690.5,,,
94,376,,6223736.5,,
94,377,,6249566.0,,
94,378,,7204575.0,,
94,379,,7032503.5,,
,94,,,,5180585.5
94,379,,,5180585.5,
94,379,6621388.0,,,
95,380,,5571664.5,,
95,381,,5929857.0,,
95,382,,7801916.5,,
95,383,,7743245.0,,
,95,,,,5180573.0
95,383,,,5180573.0,
95,383,6606218.0,,,
96,384,,5912486.5,,
96,385,,5771172.5,,
96,386,,7388703.5,,
96,387,,7317448.0,,
,96,,,,5180570.0
96,387,,,5180570.0,
96,387,6483426.0,,,
97,388,,6001870.0,,
97,389,,6021599.0,,
97,390,,7459438.5,,
97,391,,7412469.0,,
,97,,,,5180561.5
97,391,,,5180561.5,
97,391,6614786.5,,,
98,392,,5389763.0,,
98,393,,5819906.0,,
98,394,,7904375.0,,
98,395,,7450596.0,,
,98,,,,5180558.0
98,395,,,5180558.0,
98,395,6512969.0,,,
99,396,,5332300.0,,
99,397,,5800390.0,,
99,398,,7724701.5,,
99,399,,7953812.5,,
,99,,,,5180561.0
99,399,,,5180561.0,
99,399,6504677.5,,,
100,400,,5978847.0,,
100,401,,5730848.0,,
100,402,,7641251.0,,
100,403,,6627469.5,,
,100,,,,5180561.0
100,403,,,5180561.0,
100,403,6473562.0,,,
101,404,,5813282.5,,
101,405,,6307300.0,,
101,406,,7770896.5,,
101,407,,7011292.5,,
,101,,,,5180561.5
101,407,,,5180561.5,
101,407,6680462.0,,,
102,408,,5704708.0,,
102,409,,5963848.0,,
102,410,,7391551.5,,
102,411,,7046596.0,,
,102,,,,5180560.0
102,411,,,5180560.0,
102,411,6444335.5,,,
103,412,,5450460.0,,
103,413,,6339296.0,,
103,414,,7251037.5,,
103,415,,7513934.0,,
,103,,,,5180559.5
103,415,,,5180559.5,
103,415,6500067.5,,,
104,416,,5543075.0,,
104,417,,5948120.5,,
104,418,,6783846.0,,
104,419,,6728114.5,,
,104,,,,5180558.5
104,419,,,5180558.5,
104,419,6175195.0,,,
105,420,,5588616.5,,
105,421,,5591610.5,,
105,422,,7711825.0,,
105,423,,7050510.5,,
,105,,,,5180557.0
105,423,,,5180557.0,
105,423,6396181.5,,,
106,424,,5492695.5,,
106,425,,6241039.5,,
106,426,,7246585.5,,
106,427,,6987785.5,,
,106,,,,5180557.0
106,427,,,5180557.0,
106,427,6413512.5,,,
107,428,,5991465.5,,
107,429,,6279430.5,,
107,430,,7742624.5,,
107,431,,7290939.5,,
,107,,,,5180557.0
107,431,,,5180557.0,
107,431,6752500.5,,,
108,432,,5521890.0,,
108,433,,6300606.0,,
108,434,,7357583.5,,
108,435,,7623803.0,,
,108,,,,5180557.0
108,435,,,5180557.0,
108,435,6554821.0,,,
109,436,,5454163.0,,
109,437,,5896763.5,,
109,438,,7182152.5,,
109,439,,7199050.5,,
,109,,,,5180557.0
109,439,,,5180557.0,
109,439,6311717.0,,,
110,440,,6239998.5,,
110,441,,5908082.5,,
110,442,,8068682.0,,
110,443,,7331414.0,,
,110,,,,5180557.0
110,443,,,5180557.0,
110,443,6816669.5,,,
111,444,,5668240.5,,
111,445,,5503227.5,,
111,446,,7485685.0,,
111,447,,6895442.5,,
,111,,,,5180557.5
111,447,,,5180557.5,
111,447,6307808.0,,,
112,448,,5898275.5,,
112,449,,5864119.5,,
112,450,,7630756.0,,
112,451,,6866376.0,,
,112,,,,5180557.0
112,451,,,5180557.0,
112,451,6517134.0,,,
113,452,,5774317.0,,
113,453,,6319182.0,,
113,454,,7562405.0,,
113,455,,6751908.0,,
,113,,,,5180557.0
113,455,,,5180557.0,
113,455,6578204.5,,,
114,456,,5401233.0,,
114,457,,5540813.0,,
114,458,,7812396.0,,
114,459,,6973465.5,,
,114,,,,5180557.0
114,459,,,5180557.0,
114,459,6346221.0,,,
115,460,,5679919.5,,
115,461,,5862277.0,,
115,462,,7986018.0,,
115,463,,7621351.0,,
,115,,,,5180557.0
115,463,,,5180557.0,
115,463,6655316.0,,,
116,464,,5707405.5,,
116,465,,5887802.5,,
116,466,,7417912.0,,
116,467,,7494361.0,,
,116,,,,5180557.0
116,467,,,5180557.0,
116,467,6489484.5,,,
117,468,,5624059.5,,
117,469,,6098632.5,,
117,470,,7976028.5,,
117,471,,7771373.5,,
,117,,,,5180557.0
